id_manufacturer,cocoa_percent,ingredients,review_date,rating
22,70%,"3- B,S,C",2019,3.25
23,70%,"2- B,S",2018,3
23,70%,"2- B,S",2018,3.25
23,70%,"2- B,S",2018,3.5
23,70%,"2- B,S",2018,3.5
24,72%,"3- B,S,C",2008,3.75
24,72%,"3- B,S,C",2009,1.75
24,75%,"3- B,S,C",2009,2.5
24,72%,"3- B,S,C",2009,2.75
24,80%,"3- B,S,C",2009,3
24,75%,"3- B,S,C",2009,3
24,72%,"3- B,S,C",2009,3.25
24,100%,NA,2010,1.75
24,72%,"3- B,S,C",2010,3.25
24,72%,"3- B,S,C",2010,3.25
24,72%,"3- B,S,C",2010,3.5
24,72%,"3- B,S,C",2010,3.75
24,72%,"3- B,S,C",2011,2.75
24,72%,"3- B,S,C",2011,4
24,72%,"3- B,S,C",2012,3.75
24,72%,"3- B,S,C",2013,3.25
25,72%,"4- B,S,C,L",2013,2.75
26,72%,"4- B,S,C,L",2021,3.25
26,72%,"4- B,S,C,L",2021,3.25
26,72%,"4- B,S,C,L",2021,3.5
27,75%,"2- B,S",2007,2.5
27,70%,"2- B,S",2007,3
27,77%,"2- B,S",2009,3.75
27,72%,"2- B,S",2011,3.75
27,70%,"2- B,S",2011,3.75
27,68%,"3- B,S,C",2016,3.75
28,70%,"4- B,S,C,L",2019,3
29,77%,"4- B,S,V,L",2018,2.75
29,70%,"3- B,S,C",2018,3
29,70%,"3- B,S,C",2018,3
29,70%,"3- B,S,C",2018,3.5
30,70%,"2- B,S",2021,2.5
30,70%,"2- B,S",2021,3
31,70%,"2- B,S",2012,2.5
31,70%,"2- B,S",2012,2.5
31,70%,"2- B,S",2012,3
31,80%,"2- B,S",2015,3.25
31,70%,"2- B,S",2015,3.5
32,70%,"2- B,S",2018,3
33,70%,"3- B,S,C",2015,2.75
33,70%,"3- B,S,C",2015,3.5
34,72%,"3- B,S,C",2019,2.5
34,82%,"3- B,S,C",2019,2.75
34,72%,"3- B,S,C",2019,3.25
35,70%,"2- B,S",2012,3.25
35,70%,"2- B,S",2012,3.5
35,70%,"2- B,S",2012,3.75
35,70%,"2- B,S",2014,4
35,70%,"2- B,S",2015,3.5
35,72%,"2- B,S",2017,3.5
35,80%,"2- B,S",2017,3.5
36,80%,"4- B,S,C,V",2012,2.75
37,65%,"3- B,S,C",2016,3.25
37,65%,"3- B,S,C",2016,3.5
37,70%,"3- B,S,C",2016,3.75
38,70%,"4- B,S,C,V",2019,2.25
39,73%,"3- B,S,C",2017,3
39,72%,"3- B,S,C",2017,3.25
40,80%,"3- B,S,C",2016,2.75
40,70%,"3- B,S,C",2016,2.75
40,70%,"3- B,S,C",2016,2.75
40,90%,"3- B,S,C",2016,2.75
41,64%,"4- B,S,C,L",2010,2.75
41,64%,"4- B,S,C,L",2010,2.75
41,64%,"4- B,S,C,L",2010,2.75
41,71%,"4- B,S,C,L",2010,3.5
42,70%,"3- B,S,C",2016,3.25
42,70%,"3- B,S,C",2016,3.5
42,70%,"2- B,S",2016,3.5
43,75%,"3- B,S,C",2018,3.25
43,70%,"3- B,S,C",2021,3.75
44,83%,"3- B,S,C",2016,2.75
44,78%,"3- B,S,C",2016,3
44,83%,"3- B,S,C",2016,3.5
45,72%,"4- B,S,C,L",2018,3
45,72%,"4- B,S,C,L",2018,3
45,72%,"4- B,S,C,L",2018,3
46,72%,"3- B,S,C",2011,3.75
46,72%,"3- B,S,C",2011,4
46,74%,"3- B,S,C",2013,3.5
46,74%,"3- B,S,C",2013,3.5
46,74%,"3- B,S,C",2013,3.5
46,73%,"3- B,S,C",2013,4
47,55%,"5- B,S,C,V,L",2012,2.75
48,70%,"3- B,S,C",2010,3.25
48,74%,"3- B,S,C",2010,3.25
48,64%,"3- B,S,C",2010,3.5
48,72%,"3- B,S,C",2010,3.5
48,64%,"3- B,S,C",2011,3
48,88%,"3- B,S,C",2011,3
48,72%,"3- B,S,C",2011,3.5
48,72%,"3- B,S,C",2011,4
49,76%,"2- B,S",2015,2.5
49,76%,"2- B,S",2015,2.5
49,78%,"4- B,S,C,V",2015,2.5
49,86%,"4- B,S,C,V",2015,3.25
50,70%,"4- B,S,C,L",2018,3
50,70%,"4- B,S,C,L",2018,3
50,70%,"4- B,S,C,L",2018,3.5
51,71%,"2- B,S",2008,3
51,70%,"2- B,S",2008,3
51,75%,"2- B,S",2008,3.5
51,68%,"2- B,S",2008,3.75
51,75%,"2- B,S",2009,3
51,75%,"2- B,S",2009,3.25
51,65%,"2- B,S",2009,3.5
51,65%,"2- B,S",2009,3.5
51,65%,"2- B,S",2010,2.75
51,70%,"2- B,S",2010,3
51,78%,"2- B,S",2010,3
51,75%,"2- B,S",2010,3.25
51,70%,"2- B,S",2010,3.75
51,72%,"3- B,S,C",2012,3.5
52,70%,"2- B,S",2018,3
52,70%,"2- B,S",2018,3
52,70%,"2- B,S",2018,3.25
52,70%,"2- B,S",2019,2.75
53,70%,"3- B,S,C",2008,2.75
53,70%,"3- B,S,C",2008,2.75
53,70%,"3- B,S,C",2008,3
53,70%,"4- B,S,C,L",2021,3.75
54,70%,"4- B,S,C,L",2014,2.75
55,72%,"3- B,S,C",2021,3.25
55,72%,"3- B,S,C",2021,3.25
56,72%,"4- B,S,C,V",2009,2.75
56,82%,"4- B,S,C,V",2013,3.5
57,70%,"3- B,S,C",2012,3.5
57,70%,"3- B,S,C",2012,3.75
57,75%,"2- B,S",2016,2.75
57,75%,"2- B,S",2016,3
57,82%,"2- B,S",2016,3.5
57,75%,"2- B,S",2016,3.5
58,70%,"3- B,S,C",2017,2.75
59,68%,"2- B,S",2019,2.5
59,72%,"2- B,S",2019,2.75
59,74%,"2- B,S",2019,3.25
60,100%,NA,2006,1.5
60,75%,"3- B,S,C",2006,3
60,75%,"3- B,S,C",2006,3.75
